ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1997-01-01,872463.0617400511,731070.9051487818,843074.1700802885,872463.0617400511,872463.0617400511,-87244.02919471097,-87244.02919471097,-87244.02919471097,-87244.02919471097,-87244.02919471097,-87244.02919471097,0.0,0.0,0.0,785219.0325453401
1998-01-01,884138.1485060108,738793.2329265196,848940.3654677463,884138.1485060108,884138.1485060108,-88555.21944900618,-88555.21944900618,-88555.21944900618,-88555.21944900618,-88555.21944900618,-88555.21944900618,0.0,0.0,0.0,795582.9290570046
1999-01-01,895813.2352654513,750712.5051771383,863663.3349581526,895813.2352654513,895813.2352654513,-89510.23795742594,-89510.23795742594,-89510.23795742594,-89510.23795742594,-89510.23795742594,-89510.23795742594,0.0,0.0,0.0,806302.9973080254
2000-01-01,907488.322024892,762153.63919804,867033.7804357271,907488.322024892,907488.322024892,-90107.08421444686,-90107.08421444686,-90107.08421444686,-90107.08421444686,-90107.08421444686,-90107.08421444686,0.0,0.0,0.0,817381.2378104451
2001-01-01,919195.3953149336,776957.1396582823,890349.1611116709,919195.3953149336,919195.3953149336,-87244.02919471632,-87244.02919471632,-87244.02919471632,-87244.02919471632,-87244.02919471632,-87244.02919471632,0.0,0.0,0.0,831951.3661202173
2002-01-01,930870.4820659315,787460.1106986945,894118.13755,930870.4820659315,930870.4820659315,-88555.21944901155,-88555.21944901155,-88555.21944901155,-88555.21944901155,-88555.21944901155,-88555.21944901155,0.0,0.0,0.0,842315.26261692
2003-01-01,942545.5688191049,797837.0529185538,911079.700437643,942545.5688191049,942545.5688191049,-89510.23795742875,-89510.23795742875,-89510.23795742875,-89510.23795742875,-89510.23795742875,-89510.23795742875,0.0,0.0,0.0,853035.3308616761
2004-01-01,954220.6555726144,807538.0739017429,918777.7523487819,954220.6555726144,954220.6555726144,-90107.08421444142,-90107.08421444142,-90107.08421444142,-90107.08421444142,-90107.08421444142,-90107.08421444142,0.0,0.0,0.0,864113.5713581729
2005-01-01,965927.7288651745,825100.7534593283,937274.5504743389,965927.7288651745,965927.7288651745,-87244.02919471746,-87244.02919471746,-87244.02919471746,-87244.02919471746,-87244.02919471746,-87244.02919471746,0.0,0.0,0.0,878683.699670457
2006-01-01,977602.8156259883,827898.1737278734,938725.7546227307,977602.8156259883,977602.8156259883,-88555.21944900845,-88555.21944900845,-88555.21944900845,-88555.21944900845,-88555.21944900845,-88555.21944900845,0.0,0.0,0.0,889047.5961769798
2007-01-01,989277.9023868024,845266.5210020292,956033.7679617971,989277.9023868024,989277.9023868024,-89510.23795742981,-89510.23795742981,-89510.23795742981,-89510.23795742981,-89510.23795742981,-89510.23795742981,0.0,0.0,0.0,899767.6644293725
2008-01-01,1000952.989149682,860023.5953395683,966630.8512542774,1000952.989149682,1000952.989149682,-90107.08421444662,-90107.08421444662,-90107.08421444662,-90107.08421444662,-90107.08421444662,-90107.08421444662,0.0,0.0,0.0,910845.9049352354
2009-01-01,1012660.0624516378,871488.3119691466,983611.2928980865,1012660.0624516378,1012660.0624516378,-87244.02919470647,-87244.02919470647,-87244.02919470647,-87244.02919470647,-87244.02919470647,-87244.02919470647,0.0,0.0,0.0,925416.0332569313
2010-01-01,1024335.1492184649,881084.3316968025,992266.4310952789,1024335.1492184649,1024335.1492184649,-88555.21944900742,-88555.21944900742,-88555.21944900742,-88555.21944900742,-88555.21944900742,-88555.21944900742,0.0,0.0,0.0,935779.9297694574
2011-01-01,1036011.7836747258,890835.069638505,1000444.212035566,1036011.7836747258,1036011.7836747258,-89510.23795742661,-89510.23795742661,-89510.23795742661,-89510.23795742661,-89510.23795742661,-89510.23795742661,0.0,0.0,0.0,946501.5457172992
2012-01-01,1047688.4181309867,901974.3372099362,1013619.9316202597,1047688.4181309867,1047688.4181309867,-90107.08421444504,-90107.08421444504,-90107.08421444504,-90107.08421444504,-90107.08421444504,-90107.08421444504,0.0,0.0,0.0,957581.3339165417
2013-01-01,1059397.5249634548,917262.8434685133,1025366.2052393118,1059397.5249634548,1059397.5249634548,-87244.02919472015,-87244.02919472015,-87244.02919472015,-87244.02919472015,-87244.02919472015,-87244.02919472015,0.0,0.0,0.0,972153.4957687347
2014-01-01,1071074.6397007522,931651.4434963646,1039151.1672149709,1071074.6397007522,1071074.6397007522,-88555.2194490182,-88555.2194490182,-88555.2194490182,-88555.2194490182,-88555.2194490182,-88555.2194490182,0.0,0.0,0.0,982519.420251734
2015-01-01,1082751.7544380496,938330.047593504,1051567.1948336503,1082751.7544380496,1082751.7544380496,-89510.23795742662,-89510.23795742662,-89510.23795742662,-89510.23795742662,-89510.23795742662,-89510.23795742662,0.0,0.0,0.0,993241.516480623
2016-01-01,1094428.8691753473,948196.9492170168,1058365.109635322,1094428.8691753473,1094428.8691753473,-90107.08421444344,-90107.08421444344,-90107.08421444344,-90107.08421444344,-90107.08421444344,-90107.08421444344,0.0,0.0,0.0,1004321.7849609038
2017-01-01,1106137.9760078152,963487.910662676,1072670.390398877,1106137.9760078152,1106137.9760078152,-87244.02919470632,-87244.02919470632,-87244.02919470632,-87244.02919470632,-87244.02919470632,-87244.02919470632,0.0,0.0,0.0,1018893.9468131089
2018-01-01,1117815.0907451129,975152.3378469092,1085003.3956025378,1117815.0907451129,1117815.0907451129,-88555.21944900832,-88555.21944900832,-88555.21944900832,-88555.21944900832,-88555.21944900832,-88555.21944900832,0.0,0.0,0.0,1029259.8712961045
2019-01-01,1129492.2054824103,987093.4400775456,1096752.1611551123,1129492.2054824103,1129492.2054824103,-89510.23795743463,-89510.23795743463,-89510.23795743463,-89510.23795743463,-89510.23795743463,-89510.23795743463,0.0,0.0,0.0,1039981.9675249757
2020-01-01,1141169.3202197077,992326.4097985533,1106923.966024959,1141169.3202197077,1141169.3202197077,-90107.08421444459,-90107.08421444459,-90107.08421444459,-90107.08421444459,-90107.08421444459,-90107.08421444459,0.0,0.0,0.0,1051062.2360052632
2021-01-01,1152878.4270521759,1006600.7174876786,1120106.805530121,1152878.4270521759,1152878.4270521759,-87244.02919471255,-87244.02919471255,-87244.02919471255,-87244.02919471255,-87244.02919471255,-87244.02919471255,0.0,0.0,0.0,1065634.3978574632
2022-01-01,1164555.5417894733,1023916.2160801794,1131529.0406658598,1164555.5417894733,1164555.5417894733,-88555.21944901814,-88555.21944901814,-88555.21944901814,-88555.21944901814,-88555.21944901814,-88555.21944901814,0.0,0.0,0.0,1076000.3223404551
2023-01-01,1176232.6565267707,1029256.7049134824,1144332.612816843,1176232.6565267707,1176232.6565267707,-89510.23795743135,-89510.23795743135,-89510.23795743135,-89510.23795743135,-89510.23795743135,-89510.23795743135,0.0,0.0,0.0,1086722.4185693394
2024-01-01,1187909.7712640683,1038709.2459137427,1156022.00440976,1187909.7712640683,1187909.7712640683,-90107.08421444165,-90107.08421444165,-90107.08421444165,-90107.08421444165,-90107.08421444165,-90107.08421444165,0.0,0.0,0.0,1097802.6870496266
2024-12-31,1199586.8860013655,1048366.8509602686,1170428.0854618547,1199229.7298928353,1199919.9484700898,-90344.3550867549,-90344.3550867549,-90344.3550867549,-90344.3550867549,-90344.3550867549,-90344.3550867549,0.0,0.0,0.0,1109242.5309146105
